,Alice in Wonderland,Harry Potter and the Philosopher’s Stone,Charlie and the Chocolate Factory,Coraline,Goody Two-Shoes,Heidi,Matilda,Peter and Wendy,The Adventure of Pinocchio,The History of Sandford and Merton,The King of the Golden River,The Wonderful Wizard of Oz,Treasure Island,Wonder
Alice in Wonderland,1.0,2.1235078848656553e-05,2.822799716369012e-05,2.8920725935678683e-05,4.985526513273575e-05,2.542379407545304e-05,0.9937545875603088,2.5462264770454362e-05,5.381086814463935e-05,1.934955456866532e-05,0.012416872489782507,2.7352100117702328e-05,2.2795033827158632e-05,2.2483553389619995e-05
Harry Potter and the Philosopher’s Stone,2.1235078848656553e-05,1.0,1.575128630519812e-05,1.6443855356550242e-05,3.246080167838232e-05,1.2944675312344322e-05,1.5635814727484355e-05,1.298292514928752e-05,2.9869881946394345e-05,6.873010826864322e-06,7.00933036182065e-05,1.4874539943947983e-05,1.0318412252334626e-05,1.0007338484614468e-05
Charlie and the Chocolate Factory,2.822799716369012e-05,1.575128630519812e-05,1.0000000000000002,0.9999999999978402,4.2206489045768077e-05,1.9936940541535304e-05,0.05414947838109012,1.9975444668007037e-05,0.5469812719863408,1.3864679166012329e-05,0.31454294756529866,2.1867484469093812e-05,1.7310238615860935e-05,1.699923019331044e-05
Coraline,2.8920725935678683e-05,1.6443855356550242e-05,0.9999999999978402,1.0,4.3172143892167075e-05,2.062967438034038e-05,0.05415023445361547,2.0668178719676905e-05,0.5469822223692529,1.455735858997187e-05,0.31454389975365493,2.2560888668892482e-05,1.8003051411127526e-05,1.7693073570269764e-05
Goody Two-Shoes,4.985526513273575e-05,3.246080167838232e-05,4.2206489045768077e-05,4.3172143892167075e-05,1.0000000000000002,0.5775805622645985,4.499316280789943e-05,0.5775805935424965,0.8246029774274081,0.8163400762345133,0.8212168454680145,4.098752305045867e-05,3.463520467354801e-05,3.4200745032535676e-05
Heidi,2.542379407545304e-05,1.2944675312344322e-05,1.9936940541535304e-05,2.062967438034038e-05,0.5775805622645985,0.9999999999999999,2.043073979381307e-05,0.9999999999999932,0.5251607591763385,1.1059437042847628e-05,0.15768563655264933,1.9060749153473628e-05,1.4504166343080075e-05,1.4192628254905021e-05
Matilda,0.9937545875603088,1.5635814727484355e-05,0.05414947838109012,0.05415023445361547,4.499316280789943e-05,2.043073979381307e-05,0.9999999999999999,2.0474791032825377e-05,0.03972296519991865,1.3475041873701886e-05,0.029359375709916348,2.264114109090256e-05,1.7421451670710674e-05,0.09760753692991751
Peter and Wendy,2.5462264770454362e-05,1.298292514928752e-05,1.9975444668007037e-05,2.0668178719676905e-05,0.5775805935424965,0.9999999999999932,2.0474791032825377e-05,1.0,0.5251608126941992,1.1097744840740142e-05,0.15768569544381267,1.9099178033245164e-05,1.4543053646898065e-05,1.423094180000675e-05
The Adventure of Pinocchio,5.381086814463935e-05,2.9869881946394345e-05,0.5469812719863408,0.5469822223692529,0.8246029774274081,0.5251607591763385,0.03972296519991865,0.5251608126941992,1.0000000000000002,0.6385506954160166,0.8365207137505188,0.07641246940841301,0.028446556569541176,0.1032568787693424
The History of Sandford and Merton,1.934955456866532e-05,6.873010826864322e-06,1.3864679166012329e-05,1.455735858997187e-05,0.8163400762345133,1.1059437042847628e-05,1.3475041873701886e-05,1.1097744840740142e-05,0.6385506954160166,1.0,0.894401124733504,1.2988758248512838e-05,8.432885334998394e-06,8.120821961986466e-06
The King of the Golden River,0.012416872489782507,7.00933036182065e-05,0.31454294756529866,0.31454389975365493,0.8212168454680145,0.15768563655264933,0.029359375709916348,0.15768569544381267,0.8365207137505188,0.894401124733504,1.0,0.03646750376402252,0.27346774517533673,7.219869512088582e-05
The Wonderful Wizard of Oz,2.7352100117702328e-05,1.4874539943947983e-05,2.1867484469093812e-05,2.2560888668892482e-05,4.098752305045867e-05,1.9060749153473628e-05,2.264114109090256e-05,1.9099178033245164e-05,0.07641246940841301,1.2988758248512838e-05,0.03646750376402252,1.0,1.6434254860936207e-05,1.6122512364864148e-05
Treasure Island,2.2795033827158632e-05,1.0318412252334626e-05,1.7310238615860935e-05,1.8003051411127526e-05,3.463520467354801e-05,1.4504166343080075e-05,1.7421451670710674e-05,1.4543053646898065e-05,0.028446556569541176,8.432885334998394e-06,0.27346774517533673,1.6434254860936207e-05,1.0000000000000002,1.1566279548101158e-05
Wonder,2.2483553389619995e-05,1.0007338484614468e-05,1.699923019331044e-05,1.7693073570269764e-05,3.4200745032535676e-05,1.4192628254905021e-05,0.09760753692991751,1.423094180000675e-05,0.1032568787693424,8.120821961986466e-06,7.219869512088582e-05,1.6122512364864148e-05,1.1566279548101158e-05,0.9999999999999999
