book,Total_words,ratio-unique_words,avg_word_length,flesch_score,dale_chall,ratio of complex_words,year
A little pretty pocket-Book.txt,4783,0.35500731758310683,5.353125653355635,78.89,6.59,0.15973238553209282,1744
Alices Adventuresin Wonderland.txt,13137,0.21367131004034406,5.235213519068281,78.99,5.79,0.09416152850726954,1866
Charlie And The Chocolate Factory.txt,16061,0.17589191208517527,5.402527862524127,85.49,5.33,0.0887242388394247,1965
coraline.txt,14865,0.19408005381769255,5.436797847292297,84.37,5.27,0.09243188698284562,2002
Goody two-shoes.txt,8180,0.3052567237163814,5.5299511002444985,67.93,6.78,0.16283618581907092,1766
HEIDI.txt,24405,0.139479614833026,5.4619954927269,82.75,1.44,0.07428805572628559,1880
matilda.txt,19602,0.19676563615957554,5.515967758392001,84.57,5.45,0.10555045403530253,1988
Peter and Wendy.txt,21904,0.20192658875091307,5.434121621621622,81.12,5.62,0.11618882395909423,1911
The Adventure of Pinocchio.txt,18699,0.16059682335953795,5.3680945505107225,83.56,5.09,0.07465639873790042,1883
The history of sandford and merton.txt,70835,0.11487259123314746,6.04941060210348,55.81,2.34,0.08240276699371779,1783
The king of the golden river.txt,5187,0.3724696356275304,5.711008289955658,67.59,6.67,0.18604202814729132,1841
The Philosopher Stone.txt,42966,0.12088628217660476,5.488013778336359,75.5,5.15,0.06691337336498626,1997
THE WONDEFUL WIZRD OF OZ.txt,18381,0.14025352265926772,5.288504433926337,77.67,1.57,0.05750503237038246,1900
Treasure island.txt,32375,0.1805096525096525,5.362872586872587,77.57,5.59,0.09633976833976834,1888
Wonder.txt,36909,0.1177219648324257,5.163618629602536,85.18,1.36,0.0663523801782763,2012
