book,3 most frequent words,3 most frequent nouns,3 most frequent verbs,3 most frequent adjectives,year
A little pretty pocket-Book.txt,"[('little', 132), ('thy', 129), ('pretty', 96)]","[('pocketbook', 87), ('play', 39), ('thing', 37)]","[('make', 23), ('take', 17), ('go', 17)]","[('little', 132), ('thy', 107), ('pretty', 91), ('good', 40), ('great', 37)]",1744
Alices Adventuresin Wonderland.txt,"[('said', 459), ('alice', 380), ('little', 137)]","[('alice', 217), ('thing', 85), ('time', 75)]","[('said', 459), ('went', 82), ('know', 57)]","[('little', 133), ('alice', 90), ('queen', 56), ('great', 39), ('much', 33)]",1866
Charlie And The Chocolate Factory.txt,"[('mr', 499), ('said', 339), ('wonka', 324)]","[('wonka', 266), ('mr', 240), ('charlie', 158)]","[('said', 339), ('cried', 108), ('go', 95)]","[('mr', 236), ('little', 103), ('grandpa', 82), ('old', 61), ('golden', 54)]",1965
coraline.txt,"[('coraline', 635), ('said', 391), ('mother', 184)]","[('coraline', 451), ('mother', 136), ('hand', 105)]","[('said', 391), ('went', 99), ('looked', 74)]","[('coraline', 159), ('black', 76), ('old', 63), ('little', 60), ('miss', 56)]",2002
Goody two-shoes.txt,"[('little', 96), ('mr', 82), ('one', 63)]","[('mr', 64), ('man', 50), ('margery', 49)]","[('made', 44), ('say', 41), ('came', 35)]","[('little', 90), ('good', 57), ('poor', 47), ('great', 32), ('many', 22)]",1766
HEIDI.txt,"[('heidi', 677), ('said', 314), ('child', 293)]","[('heidi', 471), ('child', 216), ('peter', 214)]","[('said', 314), ('come', 157), ('go', 156)]","[('old', 185), ('little', 168), ('heidi', 118), ('many', 87), ('last', 80)]",1880
matilda.txt,"[('said', 572), ('miss', 450), ('matilda', 441)]","[('honey', 381), ('matilda', 358), ('trunchbull', 144)]","[('said', 572), ('asked', 82), ('got', 76)]","[('miss', 229), ('little', 92), ('small', 60), ('good', 54), ('great', 47)]",1988
Peter and Wendy.txt,"[('peter', 403), ('said', 356), ('wendy', 330)]","[('peter', 336), ('wendy', 150), ('hook', 147)]","[('said', 356), ('cried', 116), ('darling', 98)]","[('wendy', 142), ('little', 100), ('last', 59), ('first', 52), ('u', 39)]",1911
The Adventure of Pinocchio.txt,"[('pinocchio', 456), ('said', 225), ('marionette', 219)]","[('pinocchio', 316), ('marionette', 196), ('boy', 107)]","[('said', 225), ('go', 85), ('want', 75)]","[('little', 168), ('poor', 122), ('good', 100), ('pinocchio', 87), ('old', 59)]",1883
The history of sandford and merton.txt,"[('mr', 780), ('upon', 666), ('little', 533)]","[('mr', 417), ('time', 330), ('man', 322)]","[('said', 482), ('made', 176), ('found', 151)]","[('little', 510), ('great', 297), ('poor', 233), ('mr', 222), ('much', 211)]",1783
The king of the golden river.txt,"[('gluck', 98), ('said', 68), ('old', 45)]","[('gluck', 52), ('water', 44), ('river', 42)]","[('said', 68), ('went', 23), ('looked', 21)]","[('old', 45), ('gluck', 39), ('little', 38), ('golden', 32), ('black', 20)]",1841
The Philosopher Stone.txt,"[('harry', 1669), ('said', 794), ('potter', 455)]","[('harry', 1319), ('potter', 430), ('stone', 414)]","[('said', 794), ('rowling', 342), ('got', 199)]","[('hagrid', 229), ('harry', 195), ('last', 83), ('first', 81), ('next', 81)]",1997
THE WONDEFUL WIZRD OF OZ.txt,"[('dorothy', 346), ('said', 335), ('scarecrow', 231)]","[('lion', 174), ('illustration', 146), ('scarecrow', 136)]","[('said', 335), ('asked', 112), ('came', 103)]","[('dorothy', 210), ('great', 143), ('little', 133), ('green', 104), ('scarecrow', 82)]",1900
Treasure island.txt,"[('said', 341), ('one', 270), ('man', 251)]","[('man', 251), ('hand', 221), ('doctor', 202)]","[('said', 341), ('say', 140), ('see', 109)]","[('u', 131), ('good', 121), ('old', 116), ('last', 106), ('little', 97)]",1888
Wonder.txt,"[('said', 907), ('like', 617), ('mom', 467)]","[('mom', 402), ('school', 261), ('jack', 217)]","[('said', 907), ('know', 272), ('say', 179)]","[('little', 173), ('u', 136), ('julian', 118), ('august', 103), ('good', 102)]",2012
