book,postive sent,netural sent,negative sent,year
A little pretty pocket-Book.txt,0.208,0.718,0.074,1744
Alices Adventuresin Wonderland.txt,0.094,0.817,0.089,1866
Charlie And The Chocolate Factory.txt,0.122,0.812,0.066,1965
coraline.txt,0.09,0.85,0.06,2002
Goody two-shoes.txt,0.151,0.753,0.096,1766
HEIDI.txt,0.139,0.789,0.072,1880
matilda.txt,0.105,0.812,0.083,1988
Peter and Wendy.txt,0.114,0.785,0.101,1911
The Adventure of Pinocchio.txt,0.12,0.767,0.112,1883
The history of sandford and merton.txt,0.137,0.756,0.106,1783
The king of the golden river.txt,0.098,0.817,0.084,1841
The Philosopher Stone.txt,0.089,0.833,0.078,1997
THE WONDEFUL WIZRD OF OZ.txt,0.128,0.77,0.102,1900
Treasure island.txt,0.112,0.798,0.091,1888
Wonder.txt,0.135,0.804,0.062,2012
