book,ratio of words for emotion :,ratio of words for morals :,year
A little pretty pocket-Book.txt,0.018398494668618023,0.35500731758310683,1744
Alices Adventuresin Wonderland.txt,0.013854000152241759,0.21367131004034406,1866
Charlie And The Chocolate Factory.txt,0.01631280742170475,0.17589191208517527,1965
coraline.txt,0.007803565422132526,0.19408005381769255,2002
Goody two-shoes.txt,0.02469437652811736,0.3052567237163814,1766
HEIDI.txt,0.018602745339069863,0.139479614833026,1880
matilda.txt,0.009233751657994083,0.19676563615957554,1988
Peter and Wendy.txt,0.01903761869978086,0.20192658875091307,1911
The Adventure of Pinocchio.txt,0.02176586983261137,0.16059682335953795,1883
The history of sandford and merton.txt,0.015783158043340156,0.11487259123314746,1783
The king of the golden river.txt,0.00771158665895508,0.3724696356275304,1841
The Philosopher Stone.txt,0.008564911790718242,0.12088628217660476,1997
THE WONDEFUL WIZRD OF OZ.txt,0.014961101137043686,0.14025352265926772,1900
Treasure island.txt,0.011119691119691119,0.1805096525096525,1888
Wonder.txt,0.010160123547102332,0.1177219648324257,2012
