decade,nature,identity,adventure,family,morality,imagination,friendship,conflict
1760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1780,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1840,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1880,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1900,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1960,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1990,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
